!Ion
Si+
!MOLECULAR WEIGHT
28.0
!NUMBER OF ENERGY LEVELS
8
!LEVEL + ENERGIES(cm^-1) + WEIGHT + Qnum
   1           0.0000000       2.0                   3s2.3p%2P1/2
   2         287.2400000       4.0                   3s2.3p%2P3/2
   3       42824.2900000       2.0                   3s.3p2%4P1/2
   4       42932.6200000       4.0                   3s.3p2%4P3/2
   5       43107.9100000       6.0                   3s.3p2%4P5/2
   6       55309.3500000       4.0                   3s.3p2%2D3/2
   7       55325.1800000       6.0                   3s.3p2%2D5/2
   8       65500.4700000       2.0                   3s2.4s%2S1/2
!NUMBER OF RADIATIVE TRANSITIONS
11
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1      2.170e-04  8.6112383e+03     413.274
    2     3     1      3.956e+03  1.2838401e+06   61614.602
    3     3     2      3.315e+03  1.2752285e+06   61614.602
    4     4     1      2.200e+01  1.2870877e+06   61770.464
    5     4     2      1.014e+03  1.2784763e+06   61770.464
    6     5     2      1.827e+03  1.2837313e+06   62022.668
    7     6     1      2.551e+06  1.6581322e+06   79577.818
    8     6     2      3.433e+05  1.6495215e+06   79577.818
    9     7     2      2.654e+06  1.6499964e+06   79600.594
   10     8     1      3.815e+08  1.9636542e+06   94240.567
   11     8     2      7.544e+08  1.9550437e+06   94240.567
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
2 Si+ + e
!NUMBER OF COLL TRANS
28
!NUMBER OF COLL TEMPS
16
!COLL TEMPS
                   1.00e+01  1.58e+01  2.51e+01  3.98e+01  6.31e+01  1.00e+02  1.58e+02  2.51e+02  3.98e+02  6.31e+02  1.00e+03  1.58e+03  2.51e+03  3.98e+03  6.31e+03  1.00e+04
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
   16     6     3  8.38e-07  6.67e-07  5.32e-07  4.24e-07  3.39e-07  2.72e-07  2.17e-07  1.73e-07  1.36e-07  1.05e-07  7.84e-08  5.76e-08  4.14e-08  2.90e-08  1.97e-08  1.29e-08
   17     7     3  2.98e-07  2.38e-07  1.91e-07  1.54e-07  1.24e-07  1.01e-07  8.26e-08  6.72e-08  5.39e-08  4.21e-08  3.19e-08  2.36e-08  1.70e-08  1.20e-08  8.25e-09  5.48e-09
   18     8     3  9.18e-08  7.44e-08  6.08e-08  5.02e-08  4.20e-08  3.54e-08  2.97e-08  2.42e-08  1.87e-08  1.33e-08  8.81e-09  5.50e-09  3.29e-09  1.93e-09  1.15e-09  6.91e-10
   19     5     4  3.20e-06  2.54e-06  2.02e-06  1.61e-06  1.29e-06  1.03e-06  8.22e-07  6.56e-07  5.22e-07  4.10e-07  3.18e-07  2.43e-07  1.83e-07  1.36e-07  9.98e-08  7.26e-08
   20     6     4  1.13e-06  9.06e-07  7.25e-07  5.82e-07  4.69e-07  3.80e-07  3.09e-07  2.49e-07  1.98e-07  1.54e-07  1.17e-07  8.72e-08  6.36e-08  4.51e-08  3.09e-08  2.04e-08
   21     7     4  7.40e-07  5.89e-07  4.70e-07  3.75e-07  3.00e-07  2.41e-07  1.93e-07  1.55e-07  1.22e-07  9.56e-08  7.39e-08  5.63e-08  4.19e-08  3.02e-08  2.10e-08  1.41e-08
   22     8     4  6.65e-08  5.47e-08  4.57e-08  3.90e-08  3.41e-08  3.03e-08  2.71e-08  2.39e-08  2.01e-08  1.57e-08  1.12e-08  7.47e-09  4.72e-09  2.86e-09  1.69e-09  9.79e-10
   23     6     5  7.30e-07  5.89e-07  4.79e-07  3.94e-07  3.28e-07  2.77e-07  2.35e-07  1.98e-07  1.62e-07  1.29e-07  9.94e-08  7.43e-08  5.47e-08  3.89e-08  2.69e-08  1.80e-08
   24     7     5  1.83e-06  1.46e-06  1.16e-06  9.27e-07  7.40e-07  5.91e-07  4.72e-07  3.74e-07  2.93e-07  2.25e-07  1.69e-07  1.26e-07  9.20e-08  6.55e-08  4.50e-08  2.97e-08
   25     8     5  1.60e-07  1.31e-07  1.08e-07  9.06e-08  7.73e-08  6.69e-08  5.80e-08  4.93e-08  3.98e-08  2.98e-08  2.06e-08  1.34e-08  8.20e-09  4.83e-09  2.78e-09  1.58e-09
   26     7     6  3.22e-06  2.56e-06  2.03e-06  1.62e-06  1.29e-06  1.02e-06  8.11e-07  6.40e-07  4.99e-07  3.82e-07  2.85e-07  2.07e-07  1.47e-07  1.03e-07  7.21e-08  5.06e-08
   27     8     6  1.10e-06  8.90e-07  7.27e-07  6.02e-07  5.06e-07  4.34e-07  3.78e-07  3.30e-07  2.84e-07  2.33e-07  1.78e-07  1.26e-07  8.54e-08  5.84e-08  4.10e-08  3.03e-08
   28     8     7  1.96e-06  1.57e-06  1.26e-06  1.02e-06  8.32e-07  6.91e-07  5.85e-07  5.04e-07  4.30e-07  3.50e-07  2.65e-07  1.87e-07  1.27e-07  8.67e-08  6.11e-08  4.49e-08
