!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
   54    15    13      1.500e-04  1.4469234e+05   19672.664
   55    15    14      1.900e-04  5.9590777e+03   19672.664
   56    16     4      1.800e-03  3.9099563e+05   20005.940
   57    16     5      5.200e-04  3.8756485e+05   20005.940
   58    16     8      8.200e-03  3.3177655e+05   20005.940
   59    16     9      1.100e-02  3.2339701e+05   20005.940
   60    16    11      7.600e-04  1.6527216e+05   20005.940
   61    16    12      2.500e-04  1.5662268e+05   20005.940
   62    16    15      5.500e-04  6.9443820e+03   20005.940
   63    17     2      3.600e-01  6.1294942e+05   29970.561
   64    17     4      2.700e-02  5.9862460e+05   29970.561
   65    17     6      3.700e-01  5.6834697e+05   29970.561
   66    17     7      1.100e-01  5.5163260e+05   29970.561
   67    17     8      2.200e-02  5.3940559e+05   29970.561
   68    17    10      2.800e-02  3.8599130e+05   29970.561
   69    18     3      4.800e-01  6.3389231e+05   31382.682
   70    18     4      2.600e-02  6.2804845e+05   31382.682
   71    18     5      8.200e-02  6.2461759e+05   31382.682
   72    18     7      3.000e-01  5.8105642e+05   31382.682
   73    18     8      1.900e-01  5.6882934e+05   31382.682
   74    18     9      5.700e-02  5.6044983e+05   31382.682
   75    18    12      1.200e-02  3.9367548e+05   31382.682
   76    19     4      4.900e-01  6.4596995e+05   32242.779
   77    19     5      1.500e-01  6.4253917e+05   32242.779
   78    19     8      2.400e-01  5.8675091e+05   32242.779
   79    19     9      3.400e-01  5.7837130e+05   32242.779
   80    19    13      1.800e-02  4.0661105e+05   32242.779
   81    20     6      4.400e-01  5.8096904e+05   30576.323
   82    21     7      3.100e-01  5.6961356e+05   30833.507
   83    21     6      1.000e-01  5.8632792e+05   30833.507
   84    22     8      2.600e-01  5.6192167e+05   31051.165
   85    22     7      1.100e-01  5.7414875e+05   31051.165
   86    22     6      2.200e-02  5.9086307e+05   31051.165
   87    23     9      2.600e-01  5.5744777e+05   31238.607
   88    23     8      9.100e-02  5.6582732e+05   31238.607
   89    23     7      2.100e-02  5.7805447e+05   31238.607
   90    24     1      4.600e-01  6.7864641e+05   32569.889
   91    24     2      6.000e-02  6.6711066e+05   32569.889
   92    24     6      4.000e-01  6.2250816e+05   32569.889
   93    24     7      5.000e-02  6.0579382e+05   32569.889
   94    24    10      2.500e-02  4.4015245e+05   32569.889
   95    24    14      3.900e-03  2.7469364e+05   32569.889
   96    25     2      2.900e-01  6.7230159e+05   32819.016
   97    25     1      5.500e-02  6.8383737e+05   32819.016
   98    25     3      6.600e-02  6.6382072e+05   32819.016
   99    25     7      2.200e-01  6.1098479e+05   32819.016
  100    25     6      1.300e-01  6.2769919e+05   32819.016
  101    25     8      7.100e-02  5.9875779e+05   32819.016
  102    25    11      1.700e-03  4.3225334e+05   32819.016
  103    25    10      1.700e-02  4.4534343e+05   32819.016
  104    25    15      2.500e-03  2.7392556e+05   32819.016
  105    25    14      1.600e-03  2.7988463e+05   32819.016
  106    26     3      1.500e-01  6.6768803e+05   33004.618
  107    26     2      5.400e-02  6.7616889e+05   33004.618
  108    26     4      4.600e-02  6.6184420e+05   33004.618
  109    26     8      1.400e-01  6.0262504e+05   33004.618
  110    26     7      1.700e-01  6.1485219e+05   33004.618
  111    26     9      6.500e-02  5.9424550e+05   33004.618
  112    26     6      1.300e-02  6.3156656e+05   33004.618
  113    26    12      1.700e-03  4.2747117e+05   33004.618
  114    26    11      2.200e-02  4.3612063e+05   33004.618
  115    26    10      4.400e-03  4.4921079e+05   33004.618
  116    26    16      1.300e-03  2.7084850e+05   33004.618
  117    26    15      2.500e-03  2.7779287e+05   33004.618
  118    27     4      5.800e-02  6.6460053e+05   33136.905
  119    27     3      2.900e-02  6.7044431e+05   33136.905
  120    27     5      1.600e-02  6.6116970e+05   33136.905
  121    27     9      1.800e-01  5.9700193e+05   33136.905
  122    27     8      1.700e-01  6.0538144e+05   33136.905
  123    27     7      2.200e-02  6.1760859e+05   33136.905
  124    27    13      1.600e-02  4.2524163e+05   33136.905
  125    27    12      2.600e-02  4.3022756e+05   33136.905
  126    27    11      6.000e-03  4.3887702e+05   33136.905
  127    27    16      3.100e-03  2.7360489e+05   33136.905
  128    27    15      1.300e-03  2.8054927e+05   33136.905
  129    28     7      2.100e-01  6.8948318e+05   36586.347
  130    28     6      9.000e-01  7.0619759e+05   36586.347
  131    29     8      3.100e-01  6.8854476e+05   37128.111
  132    29     7      6.500e-01  7.0077173e+05   37128.111
  133    29     6      1.400e-01  7.1748611e+05   37128.111
  134    30     9      2.800e-01  6.8545047e+05   37381.769
  135    30     8      5.300e-01  6.9383008e+05   37381.769
  136    30     7      2.500e-01  7.0605721e+05   37381.769
  137    31     9      7.300e-01  6.8766283e+05   37487.944
  138    31     8      3.100e-01  6.9604232e+05   37487.944
  139    31     7      2.400e-02  7.0826943e+05   37487.944
  140    32     1      2.200e-01  9.4384176e+05   45297.268
  141    32     2      6.900e-02  9.3230615e+05   45297.268
  142    32     3      2.900e-02  9.2382521e+05   45297.268
  143    32     6      7.300e-01  8.8770372e+05   45297.268
  144    32     7      2.400e-01  8.7098939e+05   45297.268
  145    32     8      3.500e-02  8.5876230e+05   45297.268
  146    32    11      1.700e-02  6.9225790e+05   45297.268
  147    32    15      7.300e-02  5.3393010e+05   45297.268
  148    32    14      1.300e-01  5.3988925e+05   45297.268
  149    32    17      5.500e-02  3.1935673e+05   45297.268
  150    33     2      4.600e-02  9.2945126e+05   45160.255
  151    33     3      1.200e-01  9.2097045e+05   45160.255
  152    33     4      5.600e-02  9.1512661e+05   45160.255
  153    33     6      2.000e-01  8.8484886e+05   45160.255
  154    33     7      3.700e-01  8.6813452e+05   45160.255
  155    33     8      3.400e-01  8.5590746e+05   45160.255
  156    33     9      6.300e-02  8.4752783e+05   45160.255
  157    33    10      2.400e-02  7.0249314e+05   45160.255
  158    33    12      1.300e-02  6.8075347e+05   45160.255
  159    33    16      6.600e-02  5.2413083e+05   45160.255
  160    33    14      1.300e-01  5.3703428e+05   45160.255
  161    33    17      3.000e-02  3.1650186e+05   45160.255
  162    33    25      4.800e-02  2.5714966e+05   45160.255
  163    34     4      1.600e-01  9.1442181e+05   45126.432
  164    34     5      6.100e-02  9.1099096e+05   45126.432
  165    34     7      3.600e-01  8.6742968e+05   45126.432
  166    34     8      2.100e-01  8.5520257e+05   45126.432
  167    34     9      3.800e-01  8.4682303e+05   45126.432
  168    34    11      1.400e-02  6.8869819e+05   45126.432
  169    34    16      3.900e-02  5.2342610e+05   45126.432
  170    34    15      7.400e-02  5.3037041e+05   45126.432
  171    34    14      7.200e-02  5.3632956e+05   45126.432
  172    34    18      4.300e-02  2.8637329e+05   45126.432
  173    34    17      2.100e-02  3.1579709e+05   45126.432
  174    35     4      4.100e-02  9.1454204e+05   45132.202
  175    35     5      2.200e-01  9.1111112e+05   45132.202
  176    35     8      5.200e-01  8.5532286e+05   45132.202
  177    35     9      4.000e-01  8.4694336e+05   45132.202
  178    35    15      1.600e-01  5.3049073e+05   45132.202
  179    35    14      2.000e-02  5.3644982e+05   45132.202
  180    35    19      5.700e-02  2.6857201e+05   45132.202
  181    35    18      3.700e-02  2.8649349e+05   45132.202
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
2 Fe+ + e
!NUMBER OF COLL TRANS
595
!NUMBER OF COLL TEMPS
16
!COLL TEMPS
                   1.00e+01  1.58e+01  2.51e+01  3.98e+01  6.31e+01  1.00e+02  1.58e+02  2.51e+02  3.98e+02  6.31e+02  1.00e+03  1.58e+03  2.51e+03  3.98e+03  6.31e+03  1.00e+04
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1  2.48e-06  1.96e-06  1.54e-06  1.21e-06  9.45e-07  7.31e-07  5.59e-07  4.24e-07  3.19e-07  2.41e-07  1.86e-07  1.47e-07  1.14e-07  8.34e-08  5.86e-08  4.02e-08
    2     3     1  1.06e-06  8.34e-07  6.51e-07  5.05e-07  3.86e-07  2.91e-07  2.15e-07  1.56e-07  1.14e-07  8.75e-08  7.13e-08  5.99e-08  4.85e-08  3.66e-08  2.56e-08  1.68e-08
