  112101.6560  0.0500 -8.0612 2 2042.4216  2 -265041234 1 1 1 1     0 1 1 2     
  112128.9890  0.0500 -8.0690 2 2042.4222  4 -265041234 1 1 1 2     0 1 1 1     
  112148.5030  0.0500 -7.9593 2 2042.4216  4 -265041234 1 1 1 2     0 1 1 2     
  112442.8060  0.0500 -7.9569 2 2042.4222  4 -265041234 1 1 2 2     0 1 1 1     
  112445.0150  0.0500 -7.5311 2 2042.4216  6 -265041234 1 1 2 3     0 1 1 2     
  112453.8760  0.0500 -8.0586 2 2042.4222  2 -265041234 1 1 2 1     0 1 1 1     
  112462.2920  0.0500 -8.0664 2 2042.4216  4 -265041234 1 1 2 2     0 1 1 2     
  113123.3701  0.0058 -4.7118 2    0.0007  2  265041234 1 0 1 1     0 0 1 1     
  113144.1573  0.0057 -3.7989 2   -0.0000  2  265041234 1 0 1 1     0 0 1 2     
  113170.4915  0.0039 -3.8090 2    0.0007  4  265041234 1 0 1 2     0 0 1 1     
  113191.2787  0.0034 -3.6955 2   -0.0000  4  265041234 1 0 1 2     0 0 1 2     
  113488.1202  0.0033 -3.6932 2    0.0007  4  265041234 1 0 2 2     0 0 1 1     
  113490.9702  0.0024 -3.2691 2   -0.0000  6  265041234 1 0 2 3     0 0 1 2     
  113499.6443  0.0028 -3.7962 2    0.0007  2  265041234 1 0 2 1     0 0 1 1     
  113508.9074  0.0028 -3.8065 2   -0.0000  4  265041234 1 0 2 2     0 0 1 2     
  113520.4315  0.0044 -4.7090 2   -0.0000  2  265041234 1 0 2 1     0 0 1 2     
  224274.6210  0.0272 -7.7139 2 2046.1724  6  265041234 2 1 2 3     1 1 2 3     
  224544.1920  0.0500 -7.4672 2 2046.1625  4 -265041234 2 1 2 2     1 1 1 2     
  224571.1920  0.0500 -6.9431 2 2046.1625  6 -265041234 2 1 2 3     1 1 1 2     
  224575.6480  0.0500 -7.4695 2 2046.1609  2 -265041234 2 1 2 1     1 1 1 1     
  224591.0970  0.0500 -7.3739 2 2046.1609  4 -265041234 2 1 2 2     1 1 1 1     
  224783.6436  0.0115 -6.9371 2 2046.1729  6  265041234 2 1 3 3     1 1 2 2     
  224784.0969  0.0111 -6.7371 2 2046.1724  8  265041234 2 1 3 4     1 1 2 3     
  224785.3010  0.0500 -7.1625 2 2046.1733  4 -265041234 2 1 3 2     1 1 2 1     
  224796.3600  0.0500 -7.6593 2 2046.1729  4 -265041234 2 1 3 2     1 1 2 2     
  224800.8960  0.0500 -7.6613 2 2046.1724  6 -265041234 2 1 3 3     1 1 2 3     
  226287.4185  0.0069 -4.1214 2    3.7866  2  265041234 2 0 2 1     1 0 2 1     
  226298.9427  0.0068 -4.2189 2    3.7862  2  265041234 2 0 2 1     1 0 2 2     
  226303.0372  0.0064 -4.2131 2    3.7866  4  265041234 2 0 2 2     1 0 2 1     
  226314.5400  0.0500 -3.8373 2    3.7862  4 -265041234 2 0 2 2     1 0 2 2     
  226332.4986  0.0056 -4.1747 2    3.7857  4  265041234 2 0 2 2     1 0 2 3     
  226341.9298  0.0054 -4.1578 2    3.7862  6  265041234 2 0 2 3     1 0 2 2     
  226359.8710  0.0500 -3.4508 2    3.7857  6 -265041234 2 0 2 3     1 0 2 3     
  226616.5714  0.0053 -4.1042 2    3.7757  2  265041234 2 0 2 1     1 0 1 2     
  226632.1901  0.0035 -3.2044 2    3.7757  4  265041234 2 0 2 2     1 0 1 2     
  226659.5584  0.0026 -2.6815 2    3.7757  6  265041234 2 0 2 3     1 0 1 2     
  226663.6928  0.0025 -3.2072 2    3.7741  2  265041234 2 0 2 1     1 0 1 1     
  226679.3114  0.0031 -3.1122 2    3.7741  4  265041234 2 0 2 2     1 0 1 1     
  226874.1908  0.0023 -2.6749 2    3.7862  6  265041234 2 0 3 3     1 0 2 2     
  226874.7813  0.0030 -2.4751 2    3.7857  8  265041234 2 0 3 4     1 0 2 3     
  226875.8960  0.0020 -2.9004 2    3.7866  4  265041234 2 0 3 2     1 0 2 1     
  226887.4202  0.0029 -3.3979 2    3.7862  4  265041234 2 0 3 2     1 0 2 2     
  226892.1280  0.0027 -3.4004 2    3.7857  6  265041234 2 0 3 3     1 0 2 3     
  226905.3574  0.0044 -4.7824 2    3.7857  4  265041234 2 0 3 2     1 0 2 3     
  227191.8195  0.0049 -7.4959 2    3.7757  6  265041234 2 0 3 3     1 0 1 2     
  336875.4570  0.0500 -7.3237 2 2053.6534  6 -265041234 3 1 3 3     2 1 2 3     
  336886.7530  0.0500 -7.3247 2 2053.6525  4 -265041234 3 1 3 2     2 1 2 2     
  336898.4880  0.0500 -6.4053 2 2053.6534  8 -265041234 3 1 3 4     2 1 2 3     
  336902.4220  0.0500 -6.8310 2 2053.6519  4 -265041234 3 1 3 2     2 1 2 1     
  336902.4220  0.0500 -6.6059 2 2053.6525  6 -265041234 3 1 3 3     2 1 2 2     
  337112.3970  0.0500 -6.4114 2 2053.6709  8 -265041234 3 1 4 4     2 1 3 3     
  337112.3970  0.0500 -6.2777 2 2053.6703 10 -265041234 3 1 4 5     2 1 3 4     
  337113.1806  0.0149 -6.5505 2 2053.6713  6  265041234 3 1 4 3     2 1 3 2     
  339446.7770  0.0500 -3.6740 2   11.3544  4 -265041234 3 0 3 2     2 0 3 2     
  339459.9960  0.0070 -4.3924 2   11.3540  4  265041234 3 0 3 2     2 0 3 3     
  339462.6359  0.0067 -4.3831 2   11.3544  6  265041234 3 0 3 3     2 0 3 2     
  339475.9040  0.0500 -3.5257 2   11.3540  6 -265041234 3 0 3 3     2 0 3 3     
