H2          5.00E-1
HD          2.00E-5
He          7.59e-02
CO          1.29e-04
N           2.14e-05
gH2O        1.59e-04
S           1.91e-06
Si          7.94e-06
Na          2.00E-8
Mg          4.17e-06
Fe          4.27e-06
P           3.00E-9
F           2.00E-8
Cl          4.00E-9
