!Produced on 2013-10-29 02:22:33.096074
!Based on the ansatz of Andrew et al. 2009 (eq 1 - 5):
!2009 ApJ, 700, 1502
!Format:
!         8      5000       100        50
!(8ES18.9)
! radius            theta             dens_gas          T                 dens_dust         d2g_mass          d2g_num           r_dust            
   5.000000000e-01   1.403620650e+00   3.199844994e+12   0.000000000e+00   5.793289281e-02   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.416477901e+00   7.314132498e+12   0.000000000e+00   1.324216813e-01   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.429335152e+00   1.564874843e+13   0.000000000e+00   2.833191192e-01   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.442192402e+00   3.133857879e+13   0.000000000e+00   5.673820229e-01   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.455049653e+00   5.874377996e+13   0.000000000e+00   1.063550614e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.467906904e+00   1.030688386e+14   0.000000000e+00   1.866051634e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.480764155e+00   1.692683573e+14   0.000000000e+00   3.064587696e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.493621406e+00   2.601998724e+14   0.000000000e+00   4.710894229e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.506478657e+00   3.743874499e+14   0.000000000e+00   6.778249584e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.519335907e+00   5.042180489e+14   0.000000000e+00   9.128820375e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.532193158e+00   6.356212324e+14   0.000000000e+00   1.150786268e+01   1.000000002e-05   1.810490602e-14   2.207729393e-02
   5.000000000e-01   1.545050409e+00   7.500000759e+14   0.000000000e+00   1.384968162e+01   1.019957811e-05   1.846624029e-14   2.207729393e-02
   5.000000000e-01   1.557907660e+00   8.283371160e+14   0.000000000e+00   5.606800677e+03   3.738623413e-03   6.768742543e-12   2.207729393e-02
   5.000000000e-01   1.570764911e+00   8.563195095e+14   0.000000000e+00   1.550483161e+05   1.000080458e-01   1.810636268e-10   2.207729393e-02
   5.155203583e-01   5.707963268e-01   1.114661434e-72   0.000000000e+00   2.018084047e-86   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   5.985732319e-01   6.389532430e-68   0.000000000e+00   1.156818840e-81   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   6.263501370e-01   2.690060810e-63   0.000000000e+00   4.870329807e-77   1.000000000e-05   1.810490599e-14   2.207729393e-02
