! 2011-06-15 Wed 16:09:57
!   1. More species are included.
!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123
C           C2H2                    C3          H2                                   1.45E-10    -0.12      0.0    10   300  5 C NN
C           C2H2                    C3H         H                                    1.45E-10    -0.12      0.0    15   300  5 A NN
C           C2H3                    C3H2        H                                    1.00E-10     0.00      0.0    10   300  5 C NN
C           H2CN                    C2N         H2                                   2.00E-10     0.00      0.0    10   300  5 C NN
C           C2H4                    C3H3        H                                    3.00E-10    -0.11      0.0    15   300  5 A NN
C           HCO                     CO          CH                                   1.00E-10     0.00      0.0    10   300  5 C NN
C           HCO                     C2O         H                                    1.00E-10     0.00      0.0    10   300  5 C NN
C           SiH                     SiC         H                                    6.59E-11     0.00      0.0    10   300  5 C NN
C           C2H5                    CH3CCH      H                                    2.00E-10     0.00      0.0    10   300  5 C NN
C           NO                      CN          O                                    6.00E-11    -0.16      0.0    10 41000  5 A NN
C           NO                      CO          N                                    9.00E-11     0.00      0.0   300 41000  5 A NN
C           SiH2                    HCSi        H                                    1.00E-10     0.00      0.0    10   300  5 C NN
C           SiH3                    SiCH2       H                                    1.00E-10     0.00      0.0    10   300  5 C NN
C           PH                      CP          H                                    7.50E-11     0.00      0.0    10   300  5 C NN
C           O2                      CO          O                                    4.70E-11    -0.34      0.0    10   300  5 A NN
C           HS                      S           CH                                   1.20E-11     0.58   5880.0   196   300  5 C NN
C           HS                      CS          H                                    1.00E-10     0.00      0.0    10   300  5 C NN
C           C2N                     C2          CN                                   1.00E-10     0.00      0.0    10   300  5 C NN
C           C2O                     C2          CO                                   2.00E-10     0.00      0.0    10   300  5 C NN
C           OCN                     CO          CN                                   1.00E-10     0.00      0.0    10   300  5 C NN
C           NS                      S           CN                                   1.50E-10    -0.16      0.0    10   300  5 C NN
C           NS                      CS          N                                    1.73E-11     0.50   4000.0   133   300  5 C NN
C           HPO                     PH          CO                                   4.00E-11     0.00      0.0    10   300  5 C NN
C           SO                      S           CO                                   3.50E-11     0.00      0.0    10   300  5 C NN
C           SO                      CS          O                                    3.50E-11     0.00      0.0    10   300  5 C NN
C           SO2                     CO          SO                                   7.00E-11     0.00      0.0    10   300  5 C NN
C           S2                      CS          S                                    7.00E-11     0.00      0.0    10   300  5 C NN
CH          N                       NH          C                                    3.03E-11     0.65   1207.0   990  1100  5 B NN
CH          N                       CN          H                                    1.66E-10    -0.09      0.0   222   584  5 A NN
CH          O                       OH          C                                    2.52E-11     0.00   2381.0    10  6000  5 B NN
CH          O                       CO          H                                    6.60E-11     0.00      0.0    10  2000  5 A NN
