NH+         4.075052E-015
N+          2.890570E-011
OH+         4.570338E-013
O+          1.250694E-015
O-          1.980386E-017
NH3+        4.718641E-012
H2O+        1.052509E-012
NH4+        1.625201E-011
H3O+        5.268969E-009
F+          7.325578E-017
HF+         2.141212E-017
H2F+        4.021385E-013
C2H+        8.167738E-014
CN+         9.396232E-016
HCNH+       1.184558E-010
HOC+        2.217981E-013
N2+         2.262345E-015
HNO+        2.175240E-013
O2H+        7.626916E-020
SiH4+       1.087879E-026
SiH5+       1.736466E-020
Cl+         1.314133E-017
HCl+        1.802115E-017
H2Cl+       1.838954E-013
CH3CN+      7.827900E-016
CH3CNH+     2.555591E-011
CP+         7.455348E-020
HCP+        2.305377E-018
HNSi+       6.216718E-020
SiNH2+      7.594667E-014
PCH2+       4.207014E-013
HCO2+       1.578255E-012
HCS+        1.354471E-012
SiO+        2.150908E-016
C3N+        1.051745E-016
HC3N+       3.820791E-014
NCCNH+      2.098168E-015
C3O+        4.897026E-018
HC3O+       8.336070E-012
H3C3N+      1.481789E-016
H4C3N+      5.888261E-016
C2S+        2.294987E-017
HC2S+       2.566730E-013
C5H2+       2.328319E-012
C4N+        1.335257E-014
HC4N+       6.629909E-017
H2C4N+      6.630495E-017
HSO2+       1.022996E-017
CH3C3N+     6.629826E-017
CH3C3NH+    2.643707E-013
C6H2+       1.781352E-011
C5N+        2.678206E-016
HC5N+       4.296482E-016
H2C5N+      4.896836E-012
C7H2+       6.077153E-014
C8H2+       1.767139E-012
C7N+        1.991466E-017
HC7N+       5.902414E-015
H2C7N+      9.882091E-014
C9H2+       8.661912E-015
C9N+        1.900647E-018
HC9N+       5.672211E-016
H2C9N+      9.611272E-015
Na          1.224931E-009
Na+         1.775069E-009
Mg          1.597639E-009
Mg+         1.402361E-009
H2CO+       4.761673E-011
PH+         9.441674E-014
H2NO+       3.583638E-014
PH2+        9.079946E-014
CH3OH2+     1.591332E-015
PH3+        2.622828E-015
HCl         1.997319E-011
C2NH+       1.079269E-011
HC2O+       2.153259E-011
CH3CO+      5.540768E-012
NH2CNH+     8.169969E-014
SiCH3+      7.125026E-015
SiCH4+      7.129753E-015
HN2O+       6.522494E-016
CH3CHOH+    9.868985E-014
HPN+        3.091773E-013
H2CS+       1.068427E-013
PCH4+       1.173096E-015
C2H5OH      8.139153E-014
CH3OCH3     2.759284E-017
CH3OCH4+    3.593841E-019
HNS+        2.102583E-017
H3CS+       2.650887E-012
H3SiO+      1.017427E-020
HPO+        2.910927E-013
H2PO+       2.037864E-015
HSO+        5.531927E-015
C4H3+       1.087166E-011
C4H4+       1.087787E-014
SiC2H2+     4.585475E-015
SiNCH+      4.566530E-015
SiC2H3+     4.220492E-015
HC2P+       1.306789E-015
Fe          7.187338E-010
Fe+         2.281266E-009
PC2H2+      2.270809E-017
CH3COCH3    5.625960E-016
C3H5+       3.401603E-013
CH3COCH4+   1.778409E-017
HCOOCH3     4.998882E-019
H5C2O2+     8.152261E-021
HOCS+       6.661375E-015
HSiO2+      5.426922E-017
SiS         2.218058E-017
HSiS+       4.061309E-019
C5H5+       8.441576E-013
SiC3H+      3.148357E-014
HS2+        5.128131E-018
SiC3H2+     4.295837E-015
HS2         7.336528E-015
H2S2+       1.913572E-017
H2S2        3.863330E-015
H3S2+       2.234268E-017
PC3H+       3.000084E-015
HC3S+       2.600260E-013
C6H3+       3.582729E-014
SiC4H+      2.416894E-015
C6H6        6.593779E-012
C6H7+       1.502825E-014
PC4H+       1.197109E-014
