! Produced on 2013-11-01 00:52:23.414571
! Based on data files downloaded from the homepage of Draine:
! http://www.astro.princeton.edu/~draine/dust/dust.diel.html
! 
! Local input files:
! SiC: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/SiC_81
! silicate: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/suvSil_81
! graphite: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/Gra_81
! 
! Averaged over a power law distribution of grain size:
! rmin = 5.000e-02, rmax = 1.000e+01, index = -3.500
! 
! Then averaged over a few dust species based on the following weights:
! SiC: 3.000e-01 silicate: 6.000e-01 graphite: 1.000e-01 
! 
! iformat =      3
! nrows =    201
! 
! lambda             absor              scatter            g                 
! micron             cm2 g-1            cm2 g-1                              
  5.0120000000e-01   2.0931428447e+03   9.5659823938e+03   2.3877268951e-01
  5.3090000000e-01   2.0384504382e+03   9.1617389429e+03   2.1854734341e-01
  5.6230000000e-01   1.9804326971e+03   8.9780362492e+03   2.0120575421e-01
  5.9570000000e-01   1.9377820668e+03   8.5841598047e+03   1.8350382853e-01
  6.3100000000e-01   1.8919997458e+03   8.4551148064e+03   1.6798768256e-01
  6.6830000000e-01   1.8424174108e+03   8.0980784886e+03   1.5270244378e-01
  7.0790000000e-01   1.7890994561e+03   7.9477311506e+03   1.3926684276e-01
  7.4990000000e-01   1.7531528123e+03   7.6023061870e+03   1.2645975922e-01
  7.9430000000e-01   1.7041200278e+03   7.4604626850e+03   1.1495418728e-01
  8.4140000000e-01   1.6755705642e+03   7.1175687930e+03   1.0435072037e-01
  8.9130000000e-01   1.6271516238e+03   6.9772076424e+03   9.4617797952e-02
  9.4410000000e-01   1.5907562401e+03   6.6607139242e+03   8.5836831891e-02
  1.0000000000e+00   1.5476921108e+03   6.5176280069e+03   7.7697178194e-02
  1.0590000000e+00   1.5141883721e+03   6.2369128979e+03   7.0438781787e-02
  1.1220000000e+00   1.4771731831e+03   6.0895717510e+03   6.3720216482e-02
  1.1890000000e+00   1.4419402357e+03   5.8341073213e+03   5.7705320890e-02
  1.2590000000e+00   1.4151809125e+03   5.6850365144e+03   5.2133361797e-02
  1.3340000000e+00   1.3801544105e+03   5.4495224722e+03   4.7158780357e-02
  1.4130000000e+00   1.3613197382e+03   5.2994521900e+03   4.2580853135e-02
  1.4960000000e+00   1.3275477357e+03   5.0810226931e+03   3.8481209695e-02
  1.5850000000e+00   1.3108324047e+03   4.9317796272e+03   3.4701347864e-02
  1.6790000000e+00   1.2791650710e+03   4.7290762150e+03   3.1317553017e-02
  1.7780000000e+00   1.2613979123e+03   4.5817706690e+03   2.8224923142e-02
  1.8840000000e+00   1.2348800484e+03   4.3930043840e+03   2.5454979704e-02
  1.9950000000e+00   1.2150328407e+03   4.2468741554e+03   2.2913063763e-02
  2.1130000000e+00   1.1930832244e+03   4.0719025677e+03   2.0637407838e-02
  2.2390000000e+00   1.1704141491e+03   3.9296011728e+03   1.8564784134e-02
  2.3710000000e+00   1.1511425662e+03   3.7668422168e+03   1.6714925391e-02
  2.5120000000e+00   1.1258310753e+03   3.6304858421e+03   1.5020541236e-02
  2.6610000000e+00   1.1083653996e+03   3.4777841865e+03   1.3491708076e-02
  2.8180000000e+00   1.0828610382e+03   3.3463685409e+03   1.2115811345e-02
  2.9850000000e+00   1.0663872290e+03   3.2031623950e+03   1.0880216209e-02
  3.1620000000e+00   1.0404030435e+03   3.0775766155e+03   9.7594513048e-03
  3.3500000000e+00   1.0259847581e+03   2.9420011601e+03   8.7538803299e-03
  3.5480000000e+00   9.9958675854e+02   2.8219886396e+03   7.8438146466e-03
  3.7580000000e+00   9.8187577552e+02   2.6960120332e+03   7.0225817193e-03
  3.9810000000e+00   9.5544832128e+02   2.5804664386e+03   6.2819589652e-03
  4.2170000000e+00   9.3626163130e+02   2.4614068909e+03   5.6161361649e-03
  4.4670000000e+00   9.0981643706e+02   2.3490455629e+03   5.0124629097e-03
  4.7320000000e+00   8.8941407376e+02   2.2321475345e+03   4.4672384455e-03
  5.0120000000e+00   8.6783607300e+02   2.1183051983e+03   3.9752980961e-03
  5.3090000000e+00   8.4873109122e+02   2.0009976795e+03   3.5315028223e-03
  5.6230000000e+00   8.3331977472e+02   1.8784373748e+03   3.1314260905e-03
  5.9570000000e+00   8.2004743983e+02   1.7519412254e+03   2.7692251322e-03
  6.3100000000e+00   8.0611001257e+02   1.6168731631e+03   2.4520441298e-03
  6.6830000000e+00   7.8786495582e+02   1.4809231654e+03   2.1479064985e-03
  7.0790000000e+00   7.6446447258e+02   1.3224514276e+03   1.8717935375e-03
  7.4990000000e+00   7.8998397198e+02   1.0583741447e+03   1.6119421124e-03
  7.9430000000e+00   1.0103915046e+03   7.6218533073e+02   1.3682208776e-03
  8.4140000000e+00   1.3933125817e+03   7.3415652956e+02   1.1594843281e-03
  8.9130000000e+00   1.7476311897e+03   7.3312820561e+02   9.7008482766e-04
  9.4410000000e+00   2.1804729616e+03   7.6168656456e+02   7.9891918251e-04
  1.0000000000e+01   2.3792089427e+03   7.8969892974e+02   6.7028711693e-04
  1.0590000000e+01   2.7461553327e+03   1.0086735549e+03   5.3911626084e-04
  1.1220000000e+01   2.1212852970e+03   1.1863590940e+03   4.0767703026e-04
  1.1890000000e+01   1.5917324931e+03   1.1280619070e+03   2.5854316351e-04
  1.2590000000e+01   1.3878905013e+03   1.0091962766e+03   5.3945691029e-04
  1.3340000000e+01   1.2869980241e+03   9.1701155242e+02   9.4309322557e-04
  1.4130000000e+01   1.1701710131e+03   8.4388968183e+02   7.7603302036e-04
  1.4960000000e+01   1.1414425449e+03   7.6828701910e+02   6.0908993459e-04
  1.5850000000e+01   1.1598879411e+03   7.1890905832e+02   4.8641541790e-04
  1.6790000000e+01   1.1996403909e+03   6.9682508375e+02   3.9055583495e-04
  1.7780000000e+01   1.2284237486e+03   6.9357093801e+02   3.1484931910e-04
  1.8840000000e+01   1.2188170535e+03   7.0041184100e+02   2.5502933038e-04
  1.9950000000e+01   1.1549608862e+03   7.0098976082e+02   2.0634803158e-04
  2.1130000000e+01   1.0673082850e+03   6.8293061041e+02   1.6683053729e-04
  2.2390000000e+01   1.0006268748e+03   6.7052124703e+02   1.3384691344e-04
  2.3710000000e+01   9.2705890139e+02   6.4241899430e+02   1.0528373678e-04
  2.5120000000e+01   8.6660848918e+02   6.2252740339e+02   7.5858610520e-05
  2.6610000000e+01   8.0747717267e+02   5.9167250710e+02   5.3032510385e-05
  2.8180000000e+01   7.5015255465e+02   5.6567509383e+02   3.5171978006e-05
  2.9850000000e+01   7.0375281836e+02   5.3780400786e+02   2.1285327647e-05
  3.1620000000e+01   6.4943497115e+02   5.1023001604e+02   1.0938225191e-05
  3.3500000000e+01   6.1059144165e+02   4.8833483929e+02   3.9092394307e-06
  3.5480000000e+01   5.6058115449e+02   4.5957606296e+02   6.5935904357e-08
  3.7580000000e+01   5.2670609462e+02   4.4092583594e+02  -1.4680577832e-06
  3.9810000000e+01   4.8016733669e+02   4.1148754793e+02  -8.4018020202e-07
  4.2170000000e+01   4.4885673739e+02   3.9354834430e+02   1.1226659846e-06
  4.4670000000e+01   4.0620978724e+02   3.6240604575e+02   5.9521492696e-06
  4.7320000000e+01   3.7558394005e+02   3.4258429150e+02   1.6621421338e-05
  5.0120000000e+01   3.3815326242e+02   3.0672990441e+02   3.1379222881e-05
  5.3090000000e+01   3.0774034129e+02   2.7851273907e+02   4.7884428878e-05
  5.6230000000e+01   2.7706177286e+02   2.3917074449e+02   6.2740175938e-05
  5.9570000000e+01   2.4945795334e+02   2.0914942825e+02   7.5655422632e-05
  6.3100000000e+01   2.2017153744e+02   1.6786194242e+02   8.5650519134e-05
  6.6830000000e+01   1.9292632243e+02   1.3577672845e+02   9.2535625065e-05
