The continuum subtraced TW Hya LH spectra from AOR 24402944
continuum fitting routine: fit_irs_spline_new.pro
To rebuild the full spectrum, please use continuum + continuum subracted
wavelength(um)   continuum(Jy)     continuum subtracted spectrum(Jy)
      22.6111       2.7585155    0.0051544723
      22.6274       2.7628594     0.027850600
      22.6436       2.7670981    0.0092619350
      22.6598       2.7712253     0.014924681
      22.6760       2.7751960    0.0053539650
      22.6922       2.7789446   -0.0088046545
      22.7083       2.7823601       0.0000000
      22.7245       2.7854072     0.012492798
      22.7406       2.7881255     0.020424335
      22.7567       2.7906254    0.0035147034
      22.7728       2.7929707  -0.00019074441
      22.7889       2.7952069     0.014283055
      22.8050       2.7973667   0.00050320935
      22.8211       2.7994736     0.022506443
      22.8371       2.8015317     0.057768185
      22.8531       2.8035675     0.045542396
      22.8691       2.8055907     0.010799348
      22.8851       2.8076096     0.018100429
      22.9011       2.8096329     0.017727030
      22.9171       2.8116688     0.030441131
      22.9330       2.8137143     0.013155671
      22.9490       2.8158078   0.00046230575
      22.9649       2.8179400       0.0000000
      22.9753       2.8193705  -0.00018043056
      22.9934       2.8219121    0.0074979378
      23.0116       2.8245057     0.030394156
      23.0297       2.8270939     0.011305942
      23.0477       2.8296502    0.0021397942
      23.0658       2.8321722     0.044507691
      23.0839       2.8346092     0.041980826
      23.1019       2.8368984     0.010661525
      23.1199       2.8389845     0.075805420
      23.1379       2.8407679     0.014172009
      23.1558       2.8420983    0.0049316593
      23.1738       2.8427801       0.0000000
      23.1917       2.8426311     0.039829015
      23.2096       2.8418867      0.10759337
      23.2275       2.8408191     0.030370994
      23.2454       2.8396529     0.080607008
      23.2632       2.8386032     0.027956805
      23.2811       2.8378835     0.025156445
      23.2989       2.8377743    0.0038056152
      23.3167       2.8386300       0.0000000
      23.3344       2.8407451     0.010044948
      23.3522       2.8438727     0.013697266
      23.3699       2.8476642     0.016965809
      23.3877       2.8519454   -0.0034854423
      23.4054       2.8565210   -0.0069309639
      23.4231       2.8613127    0.0036372267
      23.4407       2.8662226     0.012577348
      23.4584       2.8712572    0.0092228072
      23.4760       2.8763253     0.020694810
      23.4936       2.8814303    0.0040596127
      23.5112       2.8865510     0.010718985
      23.5288       2.8916698     0.012660178
      23.5463       2.8967406     0.010829292
      23.5639       2.9017987     0.028601237
      23.5814       2.9067610     0.011728906
      23.5989       2.9116205     0.010549465
      23.6164       2.9163266    0.0056433151
      23.6339       2.9208074     0.044632630
      23.6513       2.9249369     0.021723142
      23.6688       2.9286130    0.0012371165
      23.6862       2.9315794    -0.019829287
      23.7036       2.9335499       0.0000000
      23.7210       2.9342540   0.00023598357
      23.7383       2.9339648   5.5265532e-05
      23.7557       2.9329859   -0.0023258606
      23.7730       2.9315381     0.010901956
      23.7903       2.9297614     0.030008524
      23.8076       2.9277541     0.060995849
      23.8249       2.9255827     0.057707233
      23.8421       2.9233046     0.018945382
      23.8594       2.9209210     0.026389015
      23.8766       2.9184736     0.041206445
      23.8938       2.9159533     0.067696704
      23.9110       2.9133542     0.049415760
      23.9282       2.9106593     0.011530663
      23.9454       2.9078391     0.041280966
      23.9625       2.9048651     0.012274889
      23.9796       2.9016521   -0.0076220064
      23.9967       2.8980999       0.0000000
      24.0138       2.8941218    0.0049181921
      24.0309       2.8898161     0.013643930
      24.0480       2.8852967     0.021763227
      24.0650       2.8806775     0.043492548
      24.0820       2.8759997     0.056050282
      24.0991       2.8712959     0.021534010
      24.1161       2.8666807   -0.0056307880
      24.1330       2.8622208     0.022799174
      24.1500       2.8579477     0.045182399
      24.1669       2.8540234     0.010316631
      24.1839       2.8505580     0.020652060
      24.2008       2.8478100   4.4408921e-16
      24.2177       2.8459446     0.017745317
      24.2346       2.8447786    0.0087015439
      24.2514       2.8441031     0.014026928
      24.2683       2.8437625     0.014277639
      24.2851       2.8436584     0.015011623
      24.3020       2.8437172     0.024302873
      24.3188       2.8438875     0.013372468
      24.3370       2.8441564     0.010933465
      24.3563       2.8445022     0.010567915
      24.3756       2.8448822    -0.012382174
      24.3948       2.8452713    -0.010461269
      24.4141       2.8456527    -0.016212623
      24.4333       2.8460001    0.0038298552
      24.4525       2.8462875    0.0092125240
      24.4716       2.8464763     0.015513673
      24.4908       2.8465142     0.010965853
      24.5099       2.8463213    0.0060587550
      24.5290       2.8457803     0.025699721
      24.5481       2.8447147   -0.0084048033
      24.5672       2.8428600       0.0000000
      24.5863       2.8399846   -0.0053245596
      24.6053       2.8363747     0.057465377
      24.6243       2.8323186     0.036651294
      24.6433       2.8280420     0.085048015
      24.6623       2.8237336     0.053166406
      24.6812       2.8195992   -0.0053091500
      24.7002       2.8158035    0.0095766291
      24.7191       2.8126518    0.0099780901
      24.7379       2.8104999       0.0000000
      24.7568       2.8096450    0.0048748533
      24.7757       2.8098052     0.014364897
      24.7945       2.8106381     0.011301881
      24.8133       2.8119203     0.011719805
      24.8321       2.8135037    0.0099163171
      24.8509       2.8152888     0.010721205
      24.8697       2.8172086    0.0030614217
      24.8884       2.8192081     0.066382016
      24.9071       2.8212676    -0.013877634
      24.9258       2.8233670   -0.0079571440
      24.9445       2.8254932     0.026106724
      24.9631       2.8276256     0.058904282
      24.9818       2.8297809     0.058159036
      25.0004       2.8319318     0.044208334
      25.0190       2.8340863     0.070493798
      25.0376       2.8362424      0.13146764
      25.0562       2.8383974      0.10704266
      25.0747       2.8405372      0.11558284
      25.0933       2.8426820      0.14420806
      25.1117       2.8447932     0.031136874
      25.1302       2.8468994     0.030190559
      25.1487       2.8489812     0.085748889
      25.1672       2.8510258      0.12529424
      25.1856       2.8530050     0.062904996
      25.2040       2.8549037     0.078846244
      25.2224       2.8566830      0.11474707
      25.2408       2.8582856     0.072624525
      25.2592       2.8596264      0.11212362
      25.2775       2.8605762     0.045953691
      25.2958       2.8609600       0.0000000
      25.3142       2.8606195    0.0056903918
      25.3325       2.8597578     0.013042335
      25.3507       2.8586144     0.021135579
      25.3690       2.8573643     0.038925764
      25.3872       2.8561916     0.016598498
      25.4054       2.8552703     0.016519584
      25.4236       2.8548196    0.0063605120
      25.4418       2.8551300       0.0000000
      25.4600       2.8564526  -0.00034249214
      25.4782       2.8585653   -0.0066952760
      25.4963       2.8611942    0.0075358329
      25.5144       2.8641759    0.0098041822
      25.5325       2.8673889     0.020101101
      25.5506       2.8707484    0.0058215928
      25.5687       2.8741902   -0.0083902986
      25.5867       2.8776437   -0.0055137504
      25.6047       2.8810820   -0.0056321064
      25.6228       2.8844758   -0.0037258527
      25.6408       2.8877293   -0.0039993750
      25.6587       2.8907700       0.0000000
      25.6767       2.8935664  -8.6342756e-05
      25.6946       2.8961412    0.0011687861
      25.7126       2.8985861     0.012873818
      25.7305       2.9009136   -0.0013035420
      25.7484       2.9031634     0.013956612
      25.7662       2.9053366    0.0044634038
      25.7841       2.9074623    -0.025942225
      25.8020       2.9095230    -0.015722973
      25.8198       2.9114937     0.013736348
      25.8328       2.9128695     0.019040513
      25.8534       2.9148990     0.026671088
      25.8740       2.9166629     0.034727162
      25.8946       2.9180200       0.0000000
      25.9152       2.9188408     0.016399271
      25.9358       2.9192569      0.10891321
      25.9563       2.9194113     0.041968693
      25.9768       2.9193977     0.075592456
      25.9973       2.9192741     0.066625846
      26.0178       2.9190774     0.031162536
      26.0382       2.9188314     0.048558651
      26.0587       2.9185466     0.051713302
