The continuum subtraced TW Hya LH spectra from AOR 24402944
continuum fitting routine: fit_irs_spline_new.pro
To rebuild the full spectrum, please use continuum + continuum subracted
wavelength(um)   continuum(Jy)     continuum subtracted spectrum(Jy)
      34.2826       3.6606189     0.042441028
      34.3110       3.6539652    0.0092547782
      34.3394       3.6472671   -0.0050169962
      34.3677       3.6405694    -0.016509518
      34.3960       3.6338584     0.022551571
      34.4243       3.6271415     0.050888556
      34.4525       3.6204474    -0.030267464
      34.4807       3.6137546      0.10773534
      34.5089       3.6070693      0.41461055
      34.5370       3.6004212      0.18461868
      34.5651       3.5937978      0.14689220
      34.5932       3.5872223      0.12288770
      34.6212       3.5807552      0.11030487
      34.6493       3.5744210     0.045009021
      34.6772       3.5684122    -0.029132266
      34.7052       3.5628926   -0.0067326547
      34.7331       3.5583156     0.015354281
      34.7610       3.5554099       0.0000000
      34.7889       3.5549400    0.0019199571
      34.8168       3.5561413     0.030018642
      34.8446       3.5582560     0.050373946
      34.8715       3.5607862     0.020073737
      34.8992       3.5636692     0.048260722
      34.9269       3.5667086    -0.090028532
      34.9546       3.5698353    -0.033015328
      34.9823       3.5730096    -0.029649650
      35.0099       3.5761992   -0.0012592254
      35.0375       3.5794034   -0.0071134859
      35.0651       3.5826163    -0.021886288
      35.0927       3.5858332     -0.15600312
      35.1202       3.5890411    -0.035021125
      35.1477       3.5922503     -0.11052032
      35.1752       3.5954603    -0.053100249
      35.2026       3.5986587    -0.013188765
      35.2300       3.6018578    -0.012857814
      35.2574       3.6050570    -0.023497079
      35.2848       3.6082562    -0.082206075
      35.3121       3.6114433    -0.045473325
      35.3384       3.6145140     -0.13489400
      35.3657       3.6177006    -0.071100509
      35.3929       3.6208751    -0.079525211
      35.4202       3.6240606     0.061809359
      35.4474       3.6272322    -0.022192111
      35.4745       3.6303890     0.015711089
      35.5017       3.6335519    -0.043761751
      35.5288       3.6366924     -0.16106231
      35.5559       3.6398143     -0.14361422
      35.5830       3.6429032    0.0024668260
      35.6100       3.6459222     -0.17085220
      35.6371       3.6488476     -0.11953765
      35.6631       3.6514805     0.030329398
      35.6899       3.6538796     0.029550367
      35.7169       3.6557269    -0.074266918
      35.7438       3.6565579    -0.035727884
      35.7707       3.6556001  -4.4408921e-16
      35.7975       3.6520843    -0.075544316
      35.8244       3.6467646     0.047075415
      35.8512       3.6404536     0.060486333
      35.8780       3.6335639     0.077566003
      35.9042       3.6264952      0.17241472
      35.9304       3.6192149      0.18509520
      35.9571       3.6116245     0.059645426
      35.9838       3.6038529    -0.054592949
      36.0104       3.5958620     0.071207932
      36.0370       3.5874737      0.11943620
      36.0637       3.5783701       0.0000000
      36.0903       3.5681141      0.11639586
