H+          CHD2CHO                 CH2DCDO+    H                                   1.08E-09    -0.50      0.0    0.    0.  5     
H+          CH2DCDO                 CHD2CHO+    H                                   1.08E-09    -0.50      0.0    0.    0.  5     
H+          CH2DCDO                 CH2DCDO+    H                                   1.08E-09    -0.50      0.0    0.    0.  5     
H+          CHD2CDO                 CHD2CDO+    H                                   1.08E-09    -0.50      0.0    0.    0.  5     
H+          D2CS                    D2CS+       H                                   1.57E-09    -0.50      0.0    0.    0.  5     
H-          He+                     He          H                                   2.30E-07    -0.50      0.0    0.    0.  5     
CHD4+       E-                      CD3         D           H                       7.84E-08    -0.52      0.0    0.    0.  5     
HDF+        E-                      DF          H                                   1.75E-07    -0.50      0.0    0.    0.  5     
CH3OHD+     E-                      CH3         OD          H                       9.08E-08    -0.59      0.0    0.    0.  5     
CHD2OD2+    E-                      CD3         OD          H                       9.08E-08    -0.59      0.0    0.    0.  5     
CHD2OD2+    E-                      D2CO        D2          H                       1.78E-07    -0.59      0.0    0.    0.  5     
CH3CHO+     E-                      CH2CO       H           H                       1.50E-07    -0.50      0.0    0.    0.  5     
CH2DCHO+    E-                      CHDCO       H           H                       7.50E-08    -0.50      0.0    0.    0.  5     
CHD2CHO+    E-                      CHDCO       D           H                       1.00E-07    -0.50      0.0    0.    0.  5     
CH2DCDO+    E-                      CHDCO       D           H                       1.00E-07    -0.50      0.0    0.    0.  5     
CHD2CDO+    E-                      CD2CO       D           H                       7.50E-08    -0.50      0.0    0.    0.  5     
CHD2CDOH+   E-                      CO          CHD3        H                       1.20E-07    -0.50      0.0    0.    0.  5     
CHD2CHOD+   E-                      CO          CHD3        H                       1.20E-07    -0.50      0.0    0.    0.  5     
CH2DCDOD+   E-                      CO          CHD3        H                       1.20E-07    -0.50      0.0    0.    0.  5     
HCOOD2+     E-                      DCOOD       H                                   1.00E-07    -0.50      0.0    0.    0.  5     
HD2CS+      E-                      CS          D2          H                       1.00E-07    -0.50      0.0    0.    0.  5     
HD2CS+      E-                      D2CS        H                                   1.00E-07    -0.50      0.0    0.    0.  5     
H2D+        E-                      HD          H                                   1.20E-08    -0.50      0.0    0.  200.  5     
HD2+        E-                      D2          H                                   1.20E-08    -0.50      0.0    0.  200.  5     
D           H2CN                    HCN         HD                                  6.67E-11     0.00      0.0    0.    0.  5     
D           HDCN                    DCN         HD                                  6.67E-11     0.00      0.0    0.    0.  5     
D           DCO                     CO          D2                                  2.00E-10     0.00      0.0    0.    0.  5     
D           OD-                     D2O         E-                                  1.40E-09     0.00      0.0    0.    0.  5     
CHD2        S                       HDCS        D                                   9.33E-11     0.00      0.0    0.    0.  5     
CD3         S                       D2CS        D                                   1.40E-10     0.00      0.0    0.    0.  5     
OD          H2CO                    HCOOH       D                                   6.67E-14     0.00      0.0    0.    0.  5     
OH          HDCO                    HCOOH       D                                   6.67E-14     0.00      0.0    0.    0.  5     
OD          HDCO                    DCOOH       D                                   6.67E-14     0.00      0.0    0.    0.  5     
OD          HDCO                    HCOOD       D                                   6.67E-14     0.00      0.0    0.    0.  5     
OH          D2CO                    DCOOH       D                                   6.67E-14     0.00      0.0    0.    0.  5     
OH          D2CO                    HCOOD       D                                   6.67E-14     0.00      0.0    0.    0.  5     
H+          HDCO                    CO+         H2          D                       3.53E-10    -0.50      0.0    0.    0.  5     
H+          D2CO                    CO+         HD          D                       7.07E-10    -0.50      0.0    0.    0.  5     
He+         CD                      C+          He          D                       1.10E-09    -0.50      0.0    0.    0.  5     
