! Neufeld & Kaufman 1993ApJ, 418, 263
! Table 1
! For water, assuming ortho:para = 3:1

! T
            100   200   400   1000  2000  4000

! -log10(L0)
            24.35 23.87 23.42 22.88 22.50 22.14

! -log10(L_LTE)
16.0         0.79  0.73  0.69  0.58  0.48  0.44
17.0         0.80  0.75  0.71  0.58  0.50  0.46
18.0         0.82  0.77  0.73  0.60  0.52  0.48
19.0         0.91  0.80  0.74  0.62  0.53  0.50




! Table 5
! T
            100   200   400   1000  2000  4000

13.0        10.98 11.05 11.07 10.88 10.67 10.67
14.0        10.99 11.05 11.07 10.88 10.67 10.67
15.0        11.06 11.09 11.09 10.88 10.67 10.67
16.0        11.36 11.31 11.23 10.93 10.69 10.68
17.0        11.91 11.82 11.65 11.15 10.79 10.72
18.0        12.59 12.50 12.28 11.61 11.11 10.90
19.0        13.29 13.20 12.99 12.25 11.65 11.30
20.0        13.90 13.90 13.76 13.01 12.34 11.88
