Network: WALMSLEY 2004
B. Parise -- 12 Nov. 2009

H       H	        pH2                                      2.50e-01 0.00e+00 0.00e+00 0  
pH2+    D               HD+     H                                1.00e-09 0.00e+00 0.00e+00 2  
H+      D2              D+      HD                               2.10e-09 0.00e+00 4.91e+02 2
D+      HD              H+      D2                               1.00e-09 0.00e+00 0.00e+00 2
D2+     pH2             pH2D+   D                                1.05e-09 0.00e+00 0.00e+00 2  
D2+     oH2             oH2D+   D                                1.05e-09 0.00e+00 0.00e+00 2  
D2+     pH2             HD2+    H                                1.05e-09 0.00e+00 0.00e+00 2  
D2+     oH2             HD2+    H                                1.05e-09 0.00e+00 0.00e+00 2  
pH2+    D2              pH2D+   D                                1.05e-09 0.00e+00 0.00e+00 2  
oH2+    D2              oH2D+   D                                1.05e-09 0.00e+00 0.00e+00 2  
pH2+    D2              HD2+    H                                1.05e-09 0.00e+00 0.00e+00 2  
oH2+    D2              HD2+    H                                1.05e-09 0.00e+00 0.00e+00 2  
HD+     HD              pH2D+   D                                5.25e-10 0.00e+00 0.00e+00 2 
HD+     HD              oH2D+   D				 5.25e-10 0.00e+00 0.00e+00 2
HD+     HD              HD2+    H 				 1.05e-09 0.00e+00 0.00e+00 2  
pH2D+   D               HD2+    H 				 1.00e-09 0.00e+00 0.00e+00 2  
oH2D+   D               HD2+    H 				 1.00e-09 0.00e+00 0.00e+00 2  
HD2+    H               pH2D+   D 				 1.00e-09 0.00e+00 6.00e+02 2 
HD2+    H               oH2D+   D 				 1.00e-09 0.00e+00 513.5    2
oH3+    D2              oH2D+   HD 				 3.50e-10 0.00e+00 0.00e+00 2
oH3+    D2              HD2+    oH2 				 3.50e-10 0.00e+00 0.00e+00 2
pH3+    D2              HD2+    pH2 				 2.33e-10 0.00e+00 0.00e+00 2
pH3+    D2              HD2+    oH2 				 1.17e-10 0.00e+00 0.00e+00 2
pH3+    D2              pH2D+   HD 				 2.33e-10 0.00e+00 0.00e+00 2
pH3+    D2              oH2D+   HD 				 1.17e-10 0.00e+00 0.00e+00 2
pH2D+   HD              HD2+    pH2 				 2.60e-10 0.00e+00 0.00e+00 2
oH2D+   HD              HD2+    oH2 				 2.60e-10 0.00e+00 0.00e+00 2
oH2D+   HD              oH3+    D2 				 1.30e-10 0.00e+00 1.08e+02 2 
oH2D+   HD              pH3+    D2 				 1.30e-10 0.00e+00 7.50e+01 2 
pH2D+   HD              pH3+    D2 				 2.60e-10 0.00e+00 161.5    2 
HD2+    pH2             pH2D+   HD 				 1.00e-10 0.00e+00 190.0    2
HD2+    pH2             oH2D+   HD 				 1.00e-10 0.00e+00 277.0    2
HD2+    oH2             oH2D+   HD 				 1.00e-10 0.00e+00 106.0    2
HD2+    oH2             pH2D+   HD 				 1.00e-10 0.00e+00 20.1     2
HD2+    pH2             pH3+    D2 				 2.00e-10 0.00e+00 320.0    2
HD2+    oH2             pH3+    D2 				 1.00e-10 0.00e+00 149.5    2
HD2+    oH2             oH3+    D2 				 1.00e-10 0.00e+00 182.4    2
HE+     D2              D+      D       HE   			 1.10e-13-2.40e-01 0.00e+00 2
HE+  	D2              D2+     HE     				 2.50e-14 0.00e+00 0.00e+00 2
D2+  	H               H+ 	D2 				 6.40e-10 0.00e+00 0.00e+00 2
HD+  	D               D+ 	HD 				 6.40e-10 0.00e+00 0.00e+00 2
HD+  	D               D2+     H 				 1.00e-09 0.00e+00 0.00e+00 2 
D2+  	H               HD+ 	D 				 1.00e-09 0.00e+00 4.72e+02 2 
D2+  	D               D+  	D2 				 6.40e-10 0.00e+00 0.00e+00 2
D2+  	HD              HD2+    D 				 1.05e-09 0.00e+00 0.00e+00 2 
D2+  	HD              D3+ 	H 				 1.05e-09 0.00e+00 0.00e+00 2  
HD+  	D2              HD2+    D 				 1.05e-09 0.00e+00 0.00e+00 2  
HD+  	D2              D3+ 	H 				 1.05e-09 0.00e+00 0.00e+00 2  
HD2+  	D               D3+     H 				 1.00e-09 0.00e+00 0.00e+00 2  
D3+  	H               HD2+    D 				 1.00e-09 0.00e+00 6.55e+02 2 
HD2+  	HD              D3+     pH2 				 1.00e-10 0.00e+00 0.00e+00 2
HD2+  	HD              D3+     oH2  				 1.00e-10 0.00e+00 0.00e+00 2
HD2+  	HD              pH2D+   D2 				 1.00e-10 0.00e+00 1.10e+00 2 
HD2+  	HD              oH2D+   D2 				 1.00e-10 0.00e+00 196.5    2
pH2D+   D2             	HD2+    HD 				 8.50e-10 0.00e+00 0.00e+00 2
oH2D+   D2             	HD2+    HD 				 8.50e-10 0.00e+00 0.00e+00 2
pH2D+   D2              D3+     pH2 				 8.50e-10 0.00e+00 0.00e+00 2
oH2D+   D2              D3+     oH2 				 8.50e-10 0.00e+00 0.00e+00 2
D3+ 	pH2             pH2D+   D2 				 1.50e-09 0.00e+00 3.52e+00 2
D3+	oH2             oH2D+   D2				 1.50e-09 0.00e+00 2.68e+00 2 
D3+ 	pH2             HD2+    HD 				 1.50e-09 0.00e+00 2.41e+00 2 
D3+ 	oH2             HD2+    HD 				 1.50e-09 0.00e+00 70.5     2
D2+ 	D2              D3+     D 				 2.10e-09 0.00e+00 0.00e+00 2  
D3+ 	HD              HD2+    D2 				 1.50e-09 0.00e+00 161.5    2
D+      H               HD+                                      3.90e-19 1.80     0.00e+00 4
H+      D               HD+                                      3.90e-19 1.80     0.00e+00 4
pH2+    D               pH2D+                                    7.00e-18 1.80     0.00e+00 4
HD+     H               pH2D+                                    1.20e-17 1.80     0.00e+00 4
pH2+    E               H       H                                1.60e-08-4.30e-01 0.00e+00 9
oH2+    E               H       H                                1.60e-08-4.30e-01 0.00e+00 9
