! Produced on 2013-10-28 18:33:18.643815
! Based on data files downloaded from the homepage of Draine:
! http://www.astro.princeton.edu/~draine/dust/dust.diel.html
! 
! Local input files:
! SiC: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/SiC_81
! silicate: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/suvSil_81
! graphite: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/Gra_81
! 
! Averaged over a power law distribution of grain size:
! rmin = 1.000e-02, rmax = 1.000e+01, index = -3.500
! 
! Then averaged over a few dust species based on the following weights:
! SiC: 3.000e-01 silicate: 5.000e-01 graphite: 2.000e-01 
! 
! iformat =      3
! nrows =    241
! 
! lambda             absor              scatter            g                 
! micron             cm2 g-1            cm2 g-1                              
  5.0120000000e-02   9.8882873269e+03   9.9469322035e+03   5.0389186471e-01
  5.3090000000e-02   1.0045798579e+04   1.0282067352e+04   4.7019338724e-01
  5.6230000000e-02   1.0230200220e+04   1.0739896724e+04   4.3714807456e-01
  5.9570000000e-02   1.0418264467e+04   1.1692378175e+04   4.0311596517e-01
  6.3100000000e-02   1.1457336789e+04   1.2510500804e+04   3.7820544517e-01
  6.6830000000e-02   1.2572466536e+04   1.2971023119e+04   3.5490465683e-01
  7.0790000000e-02   1.3569782908e+04   1.3270425847e+04   3.2987424850e-01
  7.4990000000e-02   1.4346674542e+04   1.3469629183e+04   3.0351328193e-01
  7.9430000000e-02   1.4882786260e+04   1.3545993783e+04   2.7766111876e-01
  8.4140000000e-02   1.5231431067e+04   1.3491400637e+04   2.5499675855e-01
  8.9130000000e-02   1.5587051907e+04   1.3468323675e+04   2.3361719203e-01
  9.4410000000e-02   1.6028961072e+04   1.4051611438e+04   2.1133338798e-01
  1.0000000000e-01   1.6207493652e+04   1.4278341383e+04   1.9410508569e-01
  1.0590000000e-01   1.6151359627e+04   1.4597611844e+04   1.7995094851e-01
  1.1220000000e-01   1.5789602527e+04   1.4643915737e+04   1.6785961964e-01
  1.1890000000e-01   1.5204629038e+04   1.4255041414e+04   1.5798472771e-01
  1.2590000000e-01   1.4461109236e+04   1.3745969752e+04   1.4439023614e-01
  1.3340000000e-01   1.3750243995e+04   1.3329678821e+04   1.3024318470e-01
  1.4130000000e-01   1.2992597764e+04   1.2968652650e+04   1.1735858448e-01
  1.4960000000e-01   1.2019191184e+04   1.2832721299e+04   1.0600549798e-01
  1.5850000000e-01   1.0702448536e+04   1.2668678874e+04   9.1352563702e-02
  1.6790000000e-01   9.7110686610e+03   1.2369900107e+04   7.8320677529e-02
  1.7780000000e-01   9.0812249163e+03   1.2237977859e+04   7.2076848580e-02
  1.8840000000e-01   8.7874842541e+03   1.2197618672e+04   7.9049179061e-02
  1.9950000000e-01   8.7106424026e+03   1.2285779507e+04   8.9599905082e-02
  2.1130000000e-01   8.5315520793e+03   1.2541231803e+04   8.4162543040e-02
  2.2390000000e-01   7.9092689784e+03   1.2734080432e+04   7.2702183067e-02
  2.3710000000e-01   6.9972444371e+03   1.2696272006e+04   6.2170477406e-02
  2.5120000000e-01   6.1793150281e+03   1.2384682717e+04   5.3802570534e-02
  2.6610000000e-01   5.4080474028e+03   1.2231736625e+04   4.7529424480e-02
  2.8180000000e-01   4.7830838443e+03   1.2148492893e+04   4.2984802005e-02
  2.9850000000e-01   4.3216943782e+03   1.2023300091e+04   3.9304826517e-02
  3.1620000000e-01   4.0773550385e+03   1.1756452680e+04   3.5916477043e-02
  3.3500000000e-01   3.7614742964e+03   1.1380278198e+04   3.2581226233e-02
  3.5480000000e-01   3.5977945283e+03   1.1023713451e+04   2.9404011766e-02
  3.7580000000e-01   3.4094716411e+03   1.0745748223e+04   2.6577120720e-02
  3.9810000000e-01   3.2314931056e+03   1.0361208756e+04   2.3921344296e-02
  4.2170000000e-01   3.1231409507e+03   1.0214874463e+04   2.1567059623e-02
  4.4670000000e-01   3.0020056952e+03   9.7431507276e+03   1.9458941064e-02
  4.7320000000e-01   2.9179155889e+03   9.5646354347e+03   1.7484184802e-02
  5.0120000000e-01   2.8186520455e+03   9.2495588832e+03   1.5731580233e-02
  5.3090000000e-01   2.7167171471e+03   8.8509057629e+03   1.4115740926e-02
  5.6230000000e-01   2.6192558409e+03   8.6618150311e+03   1.2691632618e-02
  5.9570000000e-01   2.5358650105e+03   8.2822584855e+03   1.1379585080e-02
  6.3100000000e-01   2.4557800027e+03   8.1526516779e+03   1.0216091099e-02
  6.6830000000e-01   2.3713509278e+03   7.8131372744e+03   9.1554139621e-03
  7.0790000000e-01   2.2875816235e+03   7.6668144659e+03   8.2160135486e-03
  7.4990000000e-01   2.2198257395e+03   7.3407371094e+03   7.3684203072e-03
  7.9430000000e-01   2.1433886447e+03   7.2040940512e+03   6.6141262163e-03
  8.4140000000e-01   2.0858484217e+03   6.8812647635e+03   5.9390630786e-03
  8.9130000000e-01   2.0133035899e+03   6.7466313234e+03   5.3332502033e-03
  9.4410000000e-01   1.9512500693e+03   6.4488262706e+03   4.7916478949e-03
  1.0000000000e+00   1.8874391967e+03   6.3109633832e+03   4.3031418723e-03
  1.0590000000e+00   1.8308490814e+03   6.0469974298e+03   3.8693777105e-03
  1.1220000000e+00   1.7761381209e+03   5.9048895004e+03   3.4785385637e-03
  1.1890000000e+00   1.7207537054e+03   5.6643590843e+03   3.1267225490e-03
  1.2590000000e+00   1.6791162195e+03   5.5202485555e+03   2.8088719726e-03
  1.3340000000e+00   1.6258814796e+03   5.2984655917e+03   2.5232633329e-03
  1.4130000000e+00   1.5936545306e+03   5.1535451109e+03   2.2682627019e-03
  1.4960000000e+00   1.5440660797e+03   4.9472622817e+03   2.0386833825e-03
  1.5850000000e+00   1.5159025740e+03   4.8029822249e+03   1.8302222605e-03
